id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_domba,tahun
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,212,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1313,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,1683,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1866,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,651,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,367,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,1683,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15777,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,120,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,513,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1849,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,92,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,282,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,355,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,39,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,791,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,140,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,215,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,10,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,525,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1616,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,370,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,334,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,335,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,391,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,208,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1437,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,2134,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2579,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,429,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,283,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,1118,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14111,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,399,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,559,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1849,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,63,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,393,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,253,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,306,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,186,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,3031,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,126,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,169,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,15,2022
