id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_ayam,tahun,daging_babi,daging_domba,daging_kelinci,daging_sapi,kubis
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26297,2020,0,1348,6,1562949,1104.0
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,24903,2020,0,1662,4,4371888,0.0
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23838,2020,0,1745,0,2272862,5607.0
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20683,2020,0,175,7,1561650,8212.0
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36687,2020,0,360,2,2117055,0.0
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,58905,2020,0,1678,6,1272156,480.0
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,66991,2020,0,14730,0,1537769,57.0
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71539,2020,0,118,0,1242580,0.0
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,8763,2020,6,512,0,1680492,0.0
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15287,2020,0,1842,99,5488284,5840.0
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2381,2020,0,43,2,662497,20.0
208,32,JAWA BARAT,3271,KOTA BOGOR,1422,2020,0,92,0,4312524,0.0
209,32,JAWA BARAT,3272,KOTA SUKABUMI,3828,2020,0,636,0,1601432,34.0
210,32,JAWA BARAT,3273,KOTA BANDUNG,1180,2020,808,438,0,9002468,123.0
211,32,JAWA BARAT,3274,KOTA CIREBON,0,2020,138,168,0,617544,0.0
212,32,JAWA BARAT,3275,KOTA BEKASI,2604,2020,6,2915,0,3249839,0.0
213,32,JAWA BARAT,3276,KOTA DEPOK,3607,2020,0,140,0,7359351,0.0
214,32,JAWA BARAT,3277,KOTA CIMAHI,303,2020,0,267,0,507286,0.0
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3705,2020,0,20,0,3659518,0.0
216,32,JAWA BARAT,3279,KOTA BANJAR,5010,2020,0,10,0,710283,0.0
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,138629,2021,0,539,2,8220506,620.0
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,32866,2021,0,1844,0,1881542,7842.0
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41482,2021,0,209,0,1927273,13749.0
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,27258,2021,0,559,0,7396405,66303.0
221,32,JAWA BARAT,3205,KABUPATEN GARUT,1791,2021,0,308,0,494953,124378.0
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30760,2021,0,394,0,3098614,1019.0
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,107888,2021,0,212,0,1840192,496.0
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22548,2021,0,1313,0,2726146,2035.0
